,ds,y,yhat1,residual1,trend,season_yearly
0,1960-01-01 00:00:00.000000000,3924,3907.136962890625,-16.863037109375,11583.486328125,-7676.3486328125
1,1961-01-01 00:00:00.000000000,4081,4119.66796875,38.66796875,11717.822265625,-7598.1533203125
2,1962-01-01 00:00:00.000000000,4216,4229.048828125,13.048828125,11851.791015625,-7622.7421875
3,1963-01-01 00:00:00.000000000,4286,4336.93310546875,50.93310546875,11985.759765625,-7648.826171875
4,1964-01-01 00:00:00.000000000,4443,4443.37939453125,0.37939453125,12119.728515625,-7676.3486328125
5,1965-01-01 00:00:00.000000000,4769,4696.4560546875,-72.5439453125,12294.609375,-7598.1533203125
6,1966-01-01 00:00:00.000000000,4987,4846.64697265625,-140.35302734375,12469.388671875,-7622.7421875
7,1967-01-01 00:00:00.000000000,4743,4995.34228515625,252.34228515625,12644.1689453125,-7648.826171875
8,1968-01-01 00:00:00.000000000,5010,5142.60009765625,132.60009765625,12818.94921875,-7676.3486328125
9,1969-01-01 00:00:00.000000000,5682,5548.505859375,-133.494140625,13146.6591796875,-7598.1533203125
10,1970-01-01 00:00:00.000000000,5900,5853.59375,-46.40625,13476.3359375,-7622.7421875
11,1971-01-01 00:00:00.000000000,5941,6157.1865234375,216.1865234375,13806.0126953125,-7648.826171875
12,1971-01-01 00:00:00.000002009,,6157.1865234375,,13806.0126953125,-7648.826171875
13,1972-01-01 00:00:00.000000000,6541,6459.3408203125,-81.6591796875,14135.689453125,-7676.3486328125
14,1972-01-01 00:00:00.000002009,,6459.3408203125,,14135.689453125,-7676.3486328125
15,1973-01-01 00:00:00.000000000,6915,6735.30615234375,-179.69384765625,14333.4599609375,-7598.1533203125
16,1973-01-01 00:00:00.000002009,,6735.30615234375,,14333.4599609375,-7598.1533203125
17,1974-01-01 00:00:00.000000000,7097,6904.171875,-192.828125,14526.9140625,-7622.7421875
18,1974-01-01 00:00:00.000002009,,6904.171875,,14526.9140625,-7622.7421875
19,1975-01-01 00:00:00.000000000,6735,7071.541015625,336.541015625,14720.3671875,-7648.826171875
20,1975-01-01 00:00:00.000002009,,7071.541015625,,14720.3671875,-7648.826171875
21,1976-01-01 00:00:00.000000000,7289,7237.47216796875,-51.52783203125,14913.8212890625,-7676.3486328125
22,1976-01-01 00:00:00.000002009,,7237.47216796875,,14913.8212890625,-7676.3486328125
23,1977-01-01 00:00:00.000000000,7444,7350.544921875,-93.455078125,14948.6982421875,-7598.1533203125
24,1977-01-01 00:00:00.000002009,,7350.544921875,,14948.6982421875,-7598.1533203125
25,1978-01-01 00:00:00.000000000,7306,7354.6474609375,48.6474609375,14977.3896484375,-7622.7421875
26,1978-01-01 00:00:00.000002009,,7354.6474609375,,14977.3896484375,-7622.7421875
27,1979-01-01 00:00:00.000000000,7372,7357.255859375,-14.744140625,15006.08203125,-7648.826171875
28,1979-01-01 00:00:00.000002009,,7357.255859375,,15006.08203125,-7648.826171875
29,1980-01-01 00:00:00.000000000,7227,7358.4248046875,131.4248046875,15034.7734375,-7676.3486328125
30,1980-01-01 00:00:00.000002009,,7358.4248046875,,15034.7734375,-7676.3486328125
31,1981-01-01 00:00:00.000000000,7721,7600.4873046875,-120.5126953125,15198.640625,-7598.1533203125
32,1981-01-01 00:00:00.000002009,,7600.4873046875,,15198.640625,-7598.1533203125
33,1982-01-01 00:00:00.000000000,7745,7745.84375,0.84375,15368.5859375,-7622.7421875
34,1982-01-01 00:00:00.000002009,,7745.84375,,15368.5859375,-7622.7421875
35,1983-01-01 00:00:00.000000000,7824,7889.7041015625,65.7041015625,15538.53125,-7648.826171875
36,1983-01-01 00:00:00.000002009,,7889.7041015625,,15538.53125,-7648.826171875
37,1984-01-01 00:00:00.000000000,8135,8032.1279296875,-102.8720703125,15708.4765625,-7676.3486328125
38,1984-01-01 00:00:00.000002009,,8032.1279296875,,15708.4765625,-7676.3486328125
39,1985-01-01 00:00:00.000000000,8314,8305.4912109375,-8.5087890625,15903.64453125,-7598.1533203125
40,1985-01-01 00:00:00.000002009,,8305.4912109375,,15903.64453125,-7598.1533203125
41,1986-01-01 00:00:00.000000000,8295,8476.98828125,181.98828125,16099.7294921875,-7622.7421875
42,1986-01-01 00:00:00.000002009,,8476.98828125,,16099.7294921875,-7622.7421875
43,1987-01-01 00:00:00.000000000,8620,8646.98828125,26.98828125,16295.8154296875,-7648.826171875
44,1987-01-01 00:00:00.000002009,,8646.98828125,,16295.8154296875,-7648.826171875
45,1988-01-01 00:00:00.000000000,8773,8815.5517578125,42.5517578125,16491.900390625,-7676.3486328125
46,1988-01-01 00:00:00.000002009,,8815.5517578125,,16491.900390625,-7676.3486328125
47,1989-01-01 00:00:00.000000000,9086,9008.060546875,-77.939453125,16606.21484375,-7598.1533203125
48,1989-01-01 00:00:00.000002009,,9008.060546875,,16606.21484375,-7598.1533203125
49,1990-01-01 00:00:00.000000000,9227,9091.798828125,-135.201171875,16714.541015625,-7622.7421875
50,1990-01-01 00:00:00.000002009,,9091.798828125,,16714.541015625,-7622.7421875
51,1991-01-01 00:00:00.000000000,9373,9174.041015625,-198.958984375,16822.8671875,-7648.826171875
52,1991-01-01 00:00:00.000002009,,9174.041015625,,16822.8671875,-7648.826171875
53,1992-01-01 00:00:00.000000000,9497,9254.84375,-242.15625,16931.193359375,-7676.3486328125
54,1992-01-01 00:00:00.000002009,,9254.84375,,16931.193359375,-7676.3486328125
55,1993-01-01 00:00:00.000000000,9571,9704.0126953125,133.0126953125,17302.166015625,-7598.1533203125
56,1993-01-01 00:00:00.000002009,,9704.0126953125,,17302.166015625,-7598.1533203125
57,1994-01-01 00:00:00.000000000,9539,10070.265625,531.265625,17693.0078125,-7622.7421875
58,1994-01-01 00:00:00.000002009,,10070.265625,,17693.0078125,-7622.7421875
59,1995-01-01 00:00:00.000000000,10070,10435.02734375,365.02734375,18083.8515625,-7648.826171875
60,1995-01-01 00:00:00.000002009,,10435.02734375,,18083.8515625,-7648.826171875
61,1996-01-01 00:00:00.000000000,11084,10798.345703125,-285.654296875,18474.6953125,-7676.3486328125
62,1996-01-01 00:00:00.000002009,,10798.345703125,,18474.6953125,-7676.3486328125
63,1997-01-01 00:00:00.000000000,11514,11455.404296875,-58.595703125,19053.55859375,-7598.1533203125
64,1997-01-01 00:00:00.000002009,,11455.404296875,,19053.55859375,-7598.1533203125
65,1998-01-01 00:00:00.000000000,12228,12025.0087890625,-202.9912109375,19647.75,-7622.7421875
66,1998-01-01 00:00:00.000002009,,12025.0087890625,,19647.75,-7622.7421875
67,1999-01-01 00:00:00.000000000,12767,12593.1181640625,-173.8818359375,20241.9453125,-7648.826171875
68,1999-01-01 00:00:00.000002009,,12593.1181640625,,20241.9453125,-7648.826171875
69,2000-01-01 00:00:00.000000000,13199,13159.7890625,-39.2109375,20836.138671875,-7676.3486328125
70,2000-01-01 00:00:00.000002009,,13159.7890625,,20836.138671875,-7676.3486328125
71,2001-01-01 00:00:00.000000000,13636,13565.34765625,-70.65234375,21163.501953125,-7598.1533203125
72,2001-01-01 00:00:00.000002009,,13565.34765625,,21163.501953125,-7598.1533203125
73,2002-01-01 00:00:00.000000000,13487,13839.974609375,352.974609375,21462.716796875,-7622.7421875
74,2002-01-01 00:00:00.000002009,,13839.974609375,,21462.716796875,-7622.7421875
75,2003-01-01 00:00:00.000000000,13699,14113.1025390625,414.1025390625,21761.9296875,-7648.826171875
76,2003-01-01 00:00:00.000002009,,14113.1025390625,,21761.9296875,-7648.826171875
77,2004-01-01 00:00:00.000000000,14594,14384.794921875,-209.205078125,22061.14453125,-7676.3486328125
78,2004-01-01 00:00:00.000002009,,14384.794921875,,22061.14453125,-7676.3486328125
79,2005-01-01 00:00:00.000000000,14927,14763.0263671875,-163.9736328125,22361.1796875,-7598.1533203125
80,2005-01-01 00:00:00.000002009,,14763.0263671875,,22361.1796875,-7598.1533203125
81,2006-01-01 00:00:00.000000000,14983,15037.65234375,54.65234375,22660.39453125,-7622.7421875
82,2006-01-01 00:00:00.000002009,,15037.65234375,,22660.39453125,-7622.7421875
83,2007-01-01 00:00:00.000000000,15508,15310.7802734375,-197.2197265625,22959.607421875,-7648.826171875
84,2007-01-01 00:00:00.000002009,,15310.7802734375,,22959.607421875,-7648.826171875
85,2008-01-01 00:00:00.000000000,15532,15582.47265625,50.47265625,23258.822265625,-7676.3486328125
86,2008-01-01 00:00:00.000002009,,15582.47265625,,23258.822265625,-7676.3486328125
87,2009-01-01 00:00:00.000000000,15941,15960.7041015625,19.7041015625,23558.857421875,-7598.1533203125
88,2009-01-01 00:00:00.000002009,,15960.7041015625,,23558.857421875,-7598.1533203125
89,2010-01-01 00:00:00.000002009,,16235.3310546875,,23858.072265625,-7622.7421875
90,2011-01-01 00:00:00.000002009,,16508.45703125,,24157.28515625,-7648.826171875
91,2012-01-01 00:00:00.000002009,,16780.150390625,,24456.5,-7676.3486328125
92,2013-01-01 00:00:00.000002009,,17158.3828125,,24756.53515625,-7598.1533203125
93,2014-01-01 00:00:00.000002009,,17433.005859375,,25055.748046875,-7622.7421875
94,2015-01-01 00:00:00.000002009,,17706.13671875,,25354.962890625,-7648.826171875
95,2016-01-01 00:00:00.000002009,,17977.828125,,25654.177734375,-7676.3486328125
96,2017-01-01 00:00:00.000002009,,18356.05859375,,25954.2109375,-7598.1533203125
97,2018-01-01 00:00:00.000002009,,18630.68359375,,26253.42578125,-7622.7421875
98,2019-01-01 00:00:00.000002009,,18903.8125,,26552.640625,-7648.826171875
99,2020-01-01 00:00:00.000002009,,19175.5078125,,26851.85546875,-7676.3486328125
100,2021-01-01 00:00:00.000002009,,19553.73828125,,27151.890625,-7598.1533203125
101,2022-01-01 00:00:00.000002009,,19828.361328125,,27451.103515625,-7622.7421875
102,2023-01-01 00:00:00.000002009,,20101.4921875,,27750.318359375,-7648.826171875
103,2024-01-01 00:00:00.000002009,,20373.18359375,,28049.533203125,-7676.3486328125
104,2025-01-01 00:00:00.000002009,,20751.416015625,,28349.568359375,-7598.1533203125
105,2026-01-01 00:00:00.000002009,,21026.0390625,,28648.78125,-7622.7421875
106,2027-01-01 00:00:00.000002009,,21299.16796875,,28947.99609375,-7648.826171875
107,2028-01-01 00:00:00.000002009,,21570.861328125,,29247.2109375,-7676.3486328125
108,2029-01-01 00:00:00.000002009,,21949.08984375,,29547.244140625,-7598.1533203125
109,2030-01-01 00:00:00.000002009,,22223.716796875,,29846.458984375,-7622.7421875
110,2031-01-01 00:00:00.000002009,,22496.845703125,,30145.673828125,-7648.826171875
111,2032-01-01 00:00:00.000002009,,22768.537109375,,30444.88671875,-7676.3486328125
112,2033-01-01 00:00:00.000002009,,23146.767578125,,30744.921875,-7598.1533203125
113,2034-01-01 00:00:00.000002009,,23421.39453125,,31044.13671875,-7622.7421875
114,2035-01-01 00:00:00.000002009,,23694.5234375,,31343.3515625,-7648.826171875
